Country,Variable,Value
Country_1,GDP,26530.53826
Country_1,HDI,0.689128015
Country_1,Life_Expectancy,75.61978796
Country_1,Population,1426120745
Country_10,GDP,49626.5854
Country_10,HDI,0.348129024
Country_10,Life_Expectancy,76.99446213
Country_10,Population,1093781745
Country_11,GDP,23497.41273
Country_11,HDI,0.511369159
Country_11,Life_Expectancy,60.88438126
Country_11,Population,96273967.08
Country_12,GDP,8811.800093
Country_12,HDI,0.664830178
Country_12,Life_Expectancy,76.6274767
Country_12,Population,1070153936
Country_13,GDP,2266.629309
Country_13,HDI,0.713666767
Country_13,Life_Expectancy,51.1000215
Country_13,Population,162729249.1
Country_14,GDP,29021.61315
Country_14,HDI,0.350036941
Country_14,Life_Expectancy,58.00793579
Country_14,Population,1133571157
Country_15,GDP,44521.56108
Country_15,HDI,0.421270538
Country_15,Life_Expectancy,78.12852269
Country_15,Population,1307319425
Country_16,GDP,22601.24151
Country_16,HDI,0.577620063
Country_16,Life_Expectancy,.
Country_16,Population,165967834.9
Country_17,GDP,15936.49283
Country_17,HDI,0.912891308
Country_17,Life_Expectancy,61.816531
Country_17,Population,180678185.6
Country_18,GDP,68038.85475
Country_18,HDI,0.623211529
Country_18,Life_Expectancy,.
Country_18,Population,1443708495
Country_19,GDP,4077.773212
Country_19,HDI,0.455715229
Country_19,Life_Expectancy,81.78930601
Country_19,Population,418691049.9
Country_2,GDP,42277.49332
Country_2,HDI,0.930441404
Country_2,Life_Expectancy,50.7204573
Country_2,Population,1062400794
Country_20,GDP,47213.42054
Country_20,HDI,0.773340627
Country_20,Life_Expectancy,58.31731404
Country_20,Population,1142667803
Country_21,GDP,.
Country_21,HDI,0.421237032
Country_21,Life_Expectancy,.
Country_21,Population,1253118441
Country_22,GDP,45339.50893
Country_22,HDI,0.551377975
Country_22,Life_Expectancy,74.18282083
Country_22,Population,262375277.1
Country_23,GDP,64766.20647
Country_23,HDI,0.72898963
Country_23,Life_Expectancy,59.02795697
Country_23,Population,1316131691
Country_24,GDP,6970.642363
Country_24,HDI,0.711515947
Country_24,Life_Expectancy,81.514632
Country_24,Population,1345926421
Country_25,GDP,62152.50649
Country_25,HDI,
Country_25,Life_Expectancy,72.47110762
Country_25,Population,1170033443
Country_26,GDP,46613.37295
Country_26,HDI,0.656676963
Country_26,Life_Expectancy,55.6282818
